[2018-10-06 06:51:53.000000 192.130.74.39  - [query->ADMINCITAS] ] Select codmedico,(nombre+' ' +apellido) as medico from mmedicos where activo='1'
[2018-10-06 06:51:53.000000 192.130.74.39  - [query->ADMINCITAS] ] Select codcons,descons from VIEW_SoloConsulta where codcons in ('01','03') 
[2018-10-06 06:51:53.000000 192.130.74.39  - [query->ADMINCITAS] ] Select 'Todos' as Descripcion, 1 as id  union  select 'Consultas' as Descripcion, 2 as id  union  select 'Sueroterapia' as Descripcion, 3 as id  union  select 'Laser' as Descripcion, 4 as id  order by id
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] Select  * from view_displaypagos where fechafac='2018-10-06'
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='96505'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112178'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='111806'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='111990'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='111754'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='90239'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='107128'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='62057'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='108944'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='111849'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112036'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112268'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112157'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='98191'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='92077'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-06 06:51:54.000000 192.130.74.39  - [query->ADMINCITAS] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112115'and codconsulta <>'07' and ASISTIDOS is null
